record_type,pipeline,query,rank,document_id,similarity,preview,relevant_count,hits_at_5,precision_at_5,recall_at_5,reciprocal_rank,search_time_ms
retrieval,Pipeline A,medical image classification,1,18971,0.428478,The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commissioning construction projects and who want to build in an environmentally responsible manner. The enviro,51,,,,,51.426
retrieval,Pipeline A,medical image classification,2,8370,0.215330,"What is a Online Medical Second Opinion? For over 25 years, patients and families have looked to We Care India for medical advice and treatment. Now you may consult with our world-renowned physicians ",51,,,,,51.426
retrieval,Pipeline A,medical image classification,3,190,0.215071,"This title is a comprehensive account of the key aspects of medical leadership. A highly accessible, text book-style resource, it explores how the medical profession has evolved in tandem with adminis",51,,,,,51.426
retrieval,Pipeline A,medical image classification,4,12982,0.208964,"Sad moments, those when we feel bad, can be clearly represented by a picture or an image that is able to transmit everybody the message of desolation, indifference or suffering we want to give. Here t",51,,,,,51.426
retrieval,Pipeline A,medical image classification,5,27781,0.204072,❶Press Officer Resume Sample. Based on your requirements and skills you can shuffle these sections in the resume. Consults reference books and material including Internet to verify information before ,51,,,,,51.426
evaluation,Pipeline A,medical image classification,,,,,51,0,0.000000,0.000000,0.000000,51.426
retrieval,Pipeline A,transformer language model,1,27936,0.290718,"hi, I am having problems with transformer / circuit board om my Hobby 720 uml model 2003. In view of the problems, can I bypass the transformer/circuit board ??",69,,,,,33.434
retrieval,Pipeline A,transformer language model,2,25428,0.218338,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick ",69,,,,,33.434
retrieval,Pipeline A,transformer language model,3,24482,0.214497,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I",69,,,,,33.434
retrieval,Pipeline A,transformer language model,4,701,0.207334,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work",69,,,,,33.434
retrieval,Pipeline A,transformer language model,5,4075,0.194890,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language",69,,,,,33.434
evaluation,Pipeline A,transformer language model,,,,,69,1,0.200000,0.014493,1.000000,33.434
retrieval,Pipeline A,deep learning healthcare,1,11979,0.315937,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade,145,,,,,20.939
retrieval,Pipeline A,deep learning healthcare,2,9252,0.299883,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, ",145,,,,,20.939
retrieval,Pipeline A,deep learning healthcare,3,11119,0.282268,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys,145,,,,,20.939
retrieval,Pipeline A,deep learning healthcare,4,3370,0.233846,"These two healthcare REITs are trading for dirt-cheap valuations despite high dividends and a solid history of growth. Investing in real estate investment trusts, or REITs, is one of the best ways to ",145,,,,,20.939
retrieval,Pipeline A,deep learning healthcare,5,9229,0.219888,"Influence Health, the healthcare industry’s leading consumer experience solution provider, congratulates leading provider organizations for earning prestigious eHealthcare Leadership Awards. These win",145,,,,,20.939
evaluation,Pipeline A,deep learning healthcare,,,,,145,0,0.000000,0.000000,0.000000,20.939
retrieval,Pipeline A,natural language processing,1,8705,0.371877,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t",154,,,,,22.709
retrieval,Pipeline A,natural language processing,2,25428,0.310384,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick ",154,,,,,22.709
